"feedback_id";"customer_id";"date_submitted";"feedback_text";"satisfaction_score";"contacted_agent";"referred_claim"
"FDB90075";"CUST12346";"2023-07-06";"Very satisfied with the claim process.";4;"Yes";"No"
"FDB90076";"CUST11109";"2021-12-30";"The agent was helpful and explained everything.";5;"No";"No"
"FDB90077";"CUST11763";"2023-05-04";"I'm not happy with the premium charged.";1;"No";"Yes"
"FDB90078";"CUST10410";"2020-09-15";"Excellent customer service support.";5;"Yes";"No"
"FDB90079";"CUST10936";"2021-07-06";"Excellent customer service support.";5;"No";"Yes"
"FDB90080";"CUST12040";"2022-10-03";"Frustrated with repeated documentation requests.";2;"Yes";"Yes"
"FDB90081";"CUST12141";"2022-04-27";"Very satisfied with the claim process.";4;"No";"Yes"
"FDB90082";"CUST11393";"2023-09-29";"The mobile app experience was intuitive.";4;"Yes";"Yes"
"FDB90083";"CUST11742";"2020-08-26";"Excellent customer service support.";5;"No";"No"
"FDB90084";"CUST12384";"2020-02-10";"The mobile app experience was intuitive.";4;"No";"Yes"
"FDB90085";"CUST12069";"2021-11-10";"The agent was helpful and explained everything.";5;"No";"Yes"
"FDB90086";"CUST10236";"2022-03-10";"Had to wait too long for claim approval.";2;"Yes";"No"
"FDB90087";"CUST12288";"2021-07-12";"Had to wait too long for claim approval.";2;"No";"Yes"
"FDB90088";"CUST11323";"2021-08-25";"Very satisfied with the claim process.";4;"Yes";"Yes"
"FDB90089";"CUST11453";"2023-02-14";"Need more clarity on policy coverage.";3;"Yes";"No"
"FDB90090";"CUST10211";"2022-02-02";"Very satisfied with the claim process.";4;"Yes";"No"
"FDB90091";"CUST10730";"2023-10-07";"The agent was helpful and explained everything.";5;"No";"No"
"FDB90092";"CUST10323";"2020-02-11";"Need more clarity on policy coverage.";1;"No";"Yes"
"FDB90093";"CUST10177";"2023-09-15";"Excellent customer service support.";5;"No";"Yes"
"FDB90094";"CUST10440";"2020-05-27";"Frustrated with repeated documentation requests.";3;"Yes";"No"
"FDB90095";"CUST11064";"2022-05-06";"I'm not happy with the premium charged.";2;"Yes";"Yes"
"FDB90096";"CUST12004";"2023-07-05";"Need more clarity on policy coverage.";2;"No";"Yes"
"FDB90097";"CUST11807";"2020-10-08";"Smooth experience with no issues.";4;"No";"Yes"
"FDB90098";"CUST10449";"2022-01-11";"Very satisfied with the claim process.";4;"Yes";"Yes"
"FDB90099";"CUST10669";"2022-11-18";"I'm not happy with the premium charged.";1;"Yes";"No"
"FDB90100";"CUST10394";"2020-06-01";"I'm not happy with the premium charged.";1;"No";"No"
"FDB90101";"CUST10352";"2020-09-17";"The agent was helpful and explained everything.";5;"Yes";"Yes"
"FDB90102";"CUST12339";"2020-04-22";"Smooth experience with no issues.";5;"No";"Yes"
"FDB90103";"CUST12198";"2021-03-20";"Frustrated with repeated documentation requests.";1;"No";"No"
"FDB90104";"CUST11804";"2020-01-25";"Excellent customer service support.";5;"Yes";"No"
"FDB90105";"CUST10954";"2020-04-18";"Very satisfied with the claim process.";5;"No";"Yes"
"FDB90106";"CUST10430";"2020-02-27";"Excellent customer service support.";5;"No";"Yes"
"FDB90107";"CUST11289";"2020-12-30";"The agent was helpful and explained everything.";4;"No";"Yes"
"FDB90108";"CUST10674";"2021-07-28";"The agent was helpful and explained everything.";5;"Yes";"No"
"FDB90109";"CUST10134";"2021-07-13";"Claim process could be faster.";2;"Yes";"Yes"
"FDB90110";"CUST10836";"2020-07-26";"Need more clarity on policy coverage.";1;"No";"Yes"
"FDB90111";"CUST10085";"2022-06-06";"Had to wait too long for claim approval.";2;"Yes";"No"
"FDB90112";"CUST11636";"2020-11-13";"Need more clarity on policy coverage.";1;"No";"Yes"
"FDB90113";"CUST10800";"2021-06-17";"The agent was helpful and explained everything.";4;"Yes";"No"
"FDB90114";"CUST12352";"2020-10-10";"The mobile app experience was intuitive.";3;"No";"Yes"
"FDB90115";"CUST11993";"2023-01-09";"Excellent customer service support.";5;"Yes";"No"
"FDB90116";"CUST10417";"2021-05-06";"Had to wait too long for claim approval.";2;"Yes";"No"
"FDB90117";"CUST11004";"2021-10-25";"The mobile app experience was intuitive.";5;"No";"Yes"
"FDB90118";"CUST10345";"2021-10-27";"Excellent customer service support.";5;"No";"No"
"FDB90119";"CUST11568";"2023-05-28";"Frustrated with repeated documentation requests.";1;"Yes";"Yes"
"FDB90120";"CUST11110";"2022-10-03";"Claim process could be faster.";3;"No";"No"
"FDB90121";"CUST12088";"2021-01-04";"Claim process could be faster.";2;"Yes";"No"
"FDB90122";"CUST11710";"2023-06-17";"Smooth experience with no issues.";5;"Yes";"Yes"
"FDB90123";"CUST12181";"2023-11-24";"Frustrated with repeated documentation requests.";3;"No";"No"
"FDB90124";"CUST12296";"2021-06-21";"Frustrated with repeated documentation requests.";3;"No";"Yes"
"FDB90125";"CUST12022";"2020-04-29";"Had to wait too long for claim approval.";1;"No";"No"
"FDB90126";"CUST11003";"2023-09-04";"The agent was helpful and explained everything.";5;"No";"No"
"FDB90127";"CUST10384";"2023-02-13";"Very satisfied with the claim process.";4;"No";"Yes"
"FDB90128";"CUST10745";"2022-11-05";"The agent was helpful and explained everything.";4;"Yes";"No"
"FDB90129";"CUST11972";"2020-03-05";"Excellent customer service support.";4;"Yes";"Yes"
"FDB90130";"CUST10580";"2022-12-17";"I'm not happy with the premium charged.";2;"Yes";"Yes"
"FDB90131";"CUST10009";"2021-08-06";"The agent was helpful and explained everything.";4;"No";"Yes"
"FDB90132";"CUST11336";"2023-08-10";"The mobile app experience was intuitive.";5;"No";"No"
"FDB90133";"CUST10451";"2021-10-09";"Smooth experience with no issues.";5;"Yes";"Yes"
"FDB90134";"CUST12440";"2022-08-20";"Need more clarity on policy coverage.";2;"Yes";"Yes"
"FDB90135";"CUST10380";"2020-06-04";"The agent was helpful and explained everything.";5;"Yes";"Yes"
"FDB90136";"CUST11594";"2022-01-11";"Claim process could be faster.";3;"Yes";"No"
"FDB90137";"CUST11259";"2023-08-03";"Need more clarity on policy coverage.";3;"Yes";"Yes"
"FDB90138";"CUST11296";"2021-12-31";"Excellent customer service support.";5;"Yes";"No"
"FDB90139";"CUST12296";"2023-10-25";"Excellent customer service support.";4;"Yes";"Yes"
"FDB90140";"CUST10493";"2023-08-08";"Very satisfied with the claim process.";5;"No";"No"
"FDB90141";"CUST12178";"2021-05-06";"The agent was helpful and explained everything.";5;"No";"No"
"FDB90142";"CUST12157";"2021-01-01";"Had to wait too long for claim approval.";1;"No";"No"
"FDB90143";"CUST10017";"2020-06-09";"Excellent customer service support.";4;"No";"Yes"
"FDB90144";"CUST12474";"2023-01-03";"Need more clarity on policy coverage.";2;"Yes";"Yes"
"FDB90145";"CUST12388";"2020-10-20";"Frustrated with repeated documentation requests.";1;"No";"No"
"FDB90146";"CUST11489";"2021-04-30";"The agent was helpful and explained everything.";4;"No";"No"
"FDB90147";"CUST10679";"2020-06-30";"Frustrated with repeated documentation requests.";1;"Yes";"Yes"
"FDB90148";"CUST10490";"2023-11-14";"Had to wait too long for claim approval.";2;"Yes";"No"
"FDB90149";"CUST10964";"2021-03-25";"Need more clarity on policy coverage.";3;"Yes";"No"
"FDB90150";"CUST12227";"2020-08-22";"The mobile app experience was intuitive.";4;"No";"Yes"
"FDB90151";"CUST10653";"2020-03-21";"Smooth experience with no issues.";5;"Yes";"No"
"FDB90152";"CUST12040";"2022-08-26";"Smooth experience with no issues.";5;"Yes";"Yes"
"FDB90153";"CUST12336";"2023-06-29";"Claim process could be faster.";3;"Yes";"Yes"
"FDB90154";"CUST11293";"2020-10-22";"The mobile app experience was intuitive.";5;"Yes";"Yes"
"FDB90155";"CUST10923";"2023-10-28";"Frustrated with repeated documentation requests.";2;"Yes";"No"
"FDB90156";"CUST10651";"2021-10-13";"Claim process could be faster.";3;"No";"Yes"
"FDB90157";"CUST11608";"2022-01-24";"Smooth experience with no issues.";4;"Yes";"No"
"FDB90158";"CUST11505";"2023-04-29";"Frustrated with repeated documentation requests.";2;"No";"No"
"FDB90159";"CUST12340";"2022-02-03";"I'm not happy with the premium charged.";1;"No";"No"
"FDB90160";"CUST11225";"2022-09-22";"Excellent customer service support.";4;"Yes";"Yes"
"FDB90161";"CUST12294";"2022-08-19";"The mobile app experience was intuitive.";5;"Yes";"No"
"FDB90162";"CUST10695";"2023-01-31";"Had to wait too long for claim approval.";1;"Yes";"No"
"FDB90163";"CUST10668";"2020-11-15";"Frustrated with repeated documentation requests.";1;"Yes";"No"
"FDB90164";"CUST11449";"2023-05-19";"Excellent customer service support.";4;"No";"No"
"FDB90165";"CUST11126";"2023-11-10";"The mobile app experience was intuitive.";5;"Yes";"No"
"FDB90166";"CUST10922";"2020-12-12";"I'm not happy with the premium charged.";2;"Yes";"No"
"FDB90167";"CUST11338";"2023-01-15";"Had to wait too long for claim approval.";2;"No";"No"
"FDB90168";"CUST11338";"2020-01-07";"Smooth experience with no issues.";5;"No";"No"
"FDB90169";"CUST10326";"2023-05-31";"The mobile app experience was intuitive.";5;"Yes";"Yes"
"FDB90170";"CUST10723";"2023-10-06";"The agent was helpful and explained everything.";4;"Yes";"Yes"
"FDB90171";"CUST12433";"2021-08-31";"Very satisfied with the claim process.";5;"Yes";"Yes"
"FDB90172";"CUST11875";"2021-10-28";"Frustrated with repeated documentation requests.";3;"Yes";"No"
"FDB90173";"CUST10950";"2022-05-02";"The mobile app experience was intuitive.";4;"No";"No"
"FDB90174";"CUST12037";"2021-10-01";"Very satisfied with the claim process.";5;"No";"Yes"
"FDB90175";"CUST11045";"2021-09-25";"Smooth experience with no issues.";4;"No";"Yes"
"FDB90176";"CUST11204";"2020-07-06";"Excellent customer service support.";4;"No";"No"
"FDB90177";"CUST10144";"2022-09-24";"Smooth experience with no issues.";4;"Yes";"Yes"
"FDB90178";"CUST11900";"2021-03-24";"Very satisfied with the claim process.";4;"No";"Yes"
"FDB90179";"CUST12221";"2021-06-28";"Smooth experience with no issues.";5;"Yes";"Yes"
"FDB90180";"CUST10360";"2022-05-21";"Had to wait too long for claim approval.";1;"No";"Yes"
"FDB90181";"CUST11465";"2022-10-22";"Need more clarity on policy coverage.";3;"Yes";"No"
"FDB90182";"CUST11512";"2020-09-26";"Excellent customer service support.";4;"Yes";"No"
"FDB90183";"CUST10022";"2022-06-17";"Very satisfied with the claim process.";4;"Yes";"No"
"FDB90184";"CUST12162";"2022-09-04";"Had to wait too long for claim approval.";1;"No";"Yes"
"FDB90185";"CUST11369";"2022-08-04";"Very satisfied with the claim process.";5;"Yes";"Yes"
"FDB90186";"CUST11767";"2022-03-12";"Excellent customer service support.";5;"No";"Yes"
"FDB90187";"CUST12146";"2022-12-05";"Smooth experience with no issues.";5;"No";"Yes"
"FDB90188";"CUST12274";"2020-03-14";"The agent was helpful and explained everything.";5;"Yes";"No"
"FDB90189";"CUST12155";"2021-07-09";"The mobile app experience was intuitive.";4;"Yes";"No"
"FDB90190";"CUST11970";"2020-05-18";"Excellent customer service support.";5;"No";"No"
"FDB90191";"CUST10481";"2020-08-14";"Claim process could be faster.";2;"Yes";"No"
"FDB90192";"CUST12054";"2020-10-17";"The agent was helpful and explained everything.";5;"No";"Yes"
"FDB90193";"CUST11882";"2022-11-17";"Frustrated with repeated documentation requests.";1;"No";"No"
"FDB90194";"CUST11425";"2022-10-31";"Very satisfied with the claim process.";5;"Yes";"No"
"FDB90195";"CUST10971";"2020-05-18";"Had to wait too long for claim approval.";1;"No";"No"
"FDB90196";"CUST10275";"2021-10-07";"The mobile app experience was intuitive.";5;"No";"No"
"FDB90197";"CUST10863";"2021-03-24";"The agent was helpful and explained everything.";4;"Yes";"No"
"FDB90198";"CUST10290";"2023-12-06";"The mobile app experience was intuitive.";3;"No";"Yes"
"FDB90199";"CUST10571";"2021-04-12";"Smooth experience with no issues.";4;"Yes";"Yes"
"FDB90200";"CUST11320";"2022-02-25";"Smooth experience with no issues.";4;"Yes";"No"
"FDB90201";"CUST11852";"2023-09-30";"Excellent customer service support.";4;"No";"Yes"
"FDB90202";"CUST12312";"2020-01-16";"Claim process could be faster.";2;"No";"Yes"
"FDB90203";"CUST10736";"2023-11-20";"The mobile app experience was intuitive.";4;"No";"Yes"
"FDB90204";"CUST10385";"2021-07-28";"Smooth experience with no issues.";4;"No";"No"
"FDB90205";"CUST10900";"2020-05-10";"The agent was helpful and explained everything.";4;"Yes";"No"
"FDB90206";"CUST11062";"2022-11-05";"The agent was helpful and explained everything.";5;"Yes";"No"
"FDB90207";"CUST12173";"2020-10-31";"The agent was helpful and explained everything.";4;"No";"No"
"FDB90208";"CUST11854";"2022-02-27";"I'm not happy with the premium charged.";2;"Yes";"No"
"FDB90209";"CUST11147";"2023-10-04";"Need more clarity on policy coverage.";1;"Yes";"Yes"
"FDB90210";"CUST10973";"2023-02-19";"The mobile app experience was intuitive.";4;"No";"Yes"
"FDB90211";"CUST11237";"2021-09-08";"I'm not happy with the premium charged.";2;"Yes";"No"
"FDB90212";"CUST10311";"2021-11-26";"The agent was helpful and explained everything.";4;"Yes";"No"
"FDB90213";"CUST10716";"2020-07-18";"Had to wait too long for claim approval.";2;"Yes";"Yes"
"FDB90214";"CUST11073";"2021-11-02";"Smooth experience with no issues.";4;"Yes";"Yes"
"FDB90215";"CUST12275";"2023-08-29";"Had to wait too long for claim approval.";1;"Yes";"Yes"
"FDB90216";"CUST11985";"2021-02-27";"The mobile app experience was intuitive.";4;"Yes";"Yes"
"FDB90217";"CUST10852";"2021-04-26";"Excellent customer service support.";4;"Yes";"No"
"FDB90218";"CUST11647";"2022-08-02";"Claim process could be faster.";3;"Yes";"No"
"FDB90219";"CUST12047";"2022-06-11";"Frustrated with repeated documentation requests.";2;"No";"Yes"
"FDB90220";"CUST12332";"2022-01-27";"Very satisfied with the claim process.";5;"Yes";"Yes"
"FDB90221";"CUST10932";"2021-11-22";"Frustrated with repeated documentation requests.";1;"No";"Yes"
"FDB90222";"CUST10597";"2022-02-28";"I'm not happy with the premium charged.";2;"No";"No"
"FDB90223";"CUST10094";"2021-04-29";"The agent was helpful and explained everything.";4;"Yes";"No"
"FDB90224";"CUST12271";"2020-11-15";"Need more clarity on policy coverage.";2;"Yes";"No"
"FDB90225";"CUST10162";"2023-06-27";"Need more clarity on policy coverage.";2;"No";"Yes"
"FDB90226";"CUST10043";"2020-05-25";"Had to wait too long for claim approval.";2;"No";"Yes"
"FDB90227";"CUST10697";"2021-02-19";"I'm not happy with the premium charged.";2;"Yes";"No"
"FDB90228";"CUST11039";"2022-06-02";"Need more clarity on policy coverage.";3;"Yes";"Yes"
"FDB90229";"CUST11435";"2021-01-23";"I'm not happy with the premium charged.";3;"Yes";"Yes"
"FDB90230";"CUST11217";"2020-07-22";"Need more clarity on policy coverage.";2;"Yes";"Yes"
"FDB90231";"CUST10931";"2023-10-06";"The agent was helpful and explained everything.";4;"Yes";"No"
"FDB90232";"CUST10422";"2023-11-27";"Had to wait too long for claim approval.";1;"No";"No"
"FDB90233";"CUST11758";"2022-11-13";"Claim process could be faster.";2;"Yes";"Yes"
"FDB90234";"CUST11104";"2022-01-28";"I'm not happy with the premium charged.";3;"Yes";"Yes"
"FDB90235";"CUST10554";"2020-06-05";"The agent was helpful and explained everything.";4;"Yes";"Yes"
"FDB90236";"CUST10609";"2023-09-19";"Claim process could be faster.";2;"Yes";"No"
"FDB90237";"CUST10711";"2021-03-24";"Claim process could be faster.";2;"Yes";"Yes"
"FDB90238";"CUST11466";"2021-01-20";"Claim process could be faster.";2;"Yes";"No"
"FDB90239";"CUST11580";"2020-02-06";"Very satisfied with the claim process.";4;"Yes";"No"
"FDB90240";"CUST12052";"2020-08-30";"The mobile app experience was intuitive.";5;"Yes";"No"
"FDB90241";"CUST11234";"2021-10-12";"I'm not happy with the premium charged.";1;"No";"Yes"
"FDB90242";"CUST10736";"2022-01-26";"The mobile app experience was intuitive.";3;"Yes";"No"
"FDB90243";"CUST10655";"2022-07-14";"The mobile app experience was intuitive.";5;"No";"No"
"FDB90244";"CUST10381";"2022-07-25";"The mobile app experience was intuitive.";3;"No";"No"
"FDB90245";"CUST12472";"2020-12-31";"Claim process could be faster.";2;"No";"No"
"FDB90246";"CUST11239";"2021-07-13";"Excellent customer service support.";5;"Yes";"Yes"
"FDB90247";"CUST10846";"2022-12-20";"Need more clarity on policy coverage.";3;"No";"No"
"FDB90248";"CUST12468";"2020-02-27";"The mobile app experience was intuitive.";4;"Yes";"No"
"FDB90249";"CUST10865";"2023-03-27";"Very satisfied with the claim process.";4;"Yes";"No"
"FDB90250";"CUST10501";"2020-10-23";"Need more clarity on policy coverage.";2;"Yes";"No"
"FDB90251";"CUST12072";"2023-02-05";"The mobile app experience was intuitive.";5;"Yes";"Yes"
"FDB90252";"CUST12306";"2022-03-03";"Smooth experience with no issues.";5;"Yes";"No"
"FDB90253";"CUST11002";"2023-10-10";"I'm not happy with the premium charged.";3;"Yes";"No"
"FDB90254";"CUST10110";"2022-01-01";"Claim process could be faster.";3;"No";"No"
"FDB90255";"CUST11686";"2020-08-06";"The mobile app experience was intuitive.";5;"No";"Yes"
"FDB90256";"CUST12127";"2023-01-08";"I'm not happy with the premium charged.";2;"No";"No"
"FDB90257";"CUST11150";"2021-05-09";"Smooth experience with no issues.";5;"No";"No"
"FDB90258";"CUST11148";"2023-08-28";"Claim process could be faster.";2;"Yes";"No"
"FDB90259";"CUST10422";"2021-06-17";"I'm not happy with the premium charged.";1;"No";"No"
"FDB90260";"CUST11367";"2020-05-26";"Very satisfied with the claim process.";4;"No";"No"
"FDB90261";"CUST10608";"2022-04-15";"Claim process could be faster.";3;"Yes";"No"
"FDB90262";"CUST10040";"2022-03-07";"Smooth experience with no issues.";5;"No";"No"
"FDB90263";"CUST12218";"2022-12-10";"Claim process could be faster.";2;"No";"No"
"FDB90264";"CUST11367";"2022-09-16";"The agent was helpful and explained everything.";4;"Yes";"No"
"FDB90265";"CUST12026";"2021-06-09";"The agent was helpful and explained everything.";4;"Yes";"Yes"
"FDB90266";"CUST10481";"2023-08-04";"Had to wait too long for claim approval.";1;"No";"No"
"FDB90267";"CUST11313";"2021-12-19";"Very satisfied with the claim process.";5;"No";"No"
"FDB90268";"CUST10692";"2023-04-17";"Had to wait too long for claim approval.";1;"No";"Yes"
"FDB90269";"CUST10674";"2021-08-14";"Claim process could be faster.";3;"Yes";"No"
"FDB90270";"CUST12235";"2022-12-29";"Very satisfied with the claim process.";5;"No";"No"
"FDB90271";"CUST11023";"2022-10-12";"The agent was helpful and explained everything.";4;"No";"No"
"FDB90272";"CUST12140";"2021-10-09";"Frustrated with repeated documentation requests.";3;"No";"No"
"FDB90273";"CUST10533";"2022-06-04";"The mobile app experience was intuitive.";3;"Yes";"No"
"FDB90274";"CUST11831";"2023-07-25";"Claim process could be faster.";2;"Yes";"No"
"FDB90275";"CUST11800";"2020-04-06";"I'm not happy with the premium charged.";3;"Yes";"No"
"FDB90276";"CUST10792";"2023-12-04";"Need more clarity on policy coverage.";3;"Yes";"No"
"FDB90277";"CUST11071";"2022-05-17";"Frustrated with repeated documentation requests.";2;"No";"No"
"FDB90278";"CUST11204";"2021-09-01";"I'm not happy with the premium charged.";1;"Yes";"No"
"FDB90279";"CUST10901";"2021-11-23";"Very satisfied with the claim process.";5;"No";"Yes"
"FDB90280";"CUST10089";"2021-02-27";"The agent was helpful and explained everything.";4;"Yes";"No"
"FDB90281";"CUST10110";"2020-07-01";"I'm not happy with the premium charged.";3;"No";"Yes"
"FDB90282";"CUST10276";"2021-08-14";"Frustrated with repeated documentation requests.";3;"No";"Yes"
"FDB90283";"CUST11087";"2021-04-25";"The agent was helpful and explained everything.";5;"No";"Yes"
"FDB90284";"CUST12020";"2020-09-11";"Had to wait too long for claim approval.";2;"Yes";"Yes"
"FDB90285";"CUST10533";"2022-12-02";"Need more clarity on policy coverage.";3;"No";"Yes"
"FDB90286";"CUST11965";"2020-12-12";"Excellent customer service support.";4;"Yes";"Yes"
"FDB90287";"CUST11703";"2023-12-10";"Very satisfied with the claim process.";5;"No";"No"
"FDB90288";"CUST11665";"2023-11-09";"Frustrated with repeated documentation requests.";3;"No";"No"
"FDB90289";"CUST12273";"2022-01-31";"Had to wait too long for claim approval.";1;"No";"Yes"
"FDB90290";"CUST12177";"2020-07-03";"Very satisfied with the claim process.";4;"No";"No"
"FDB90291";"CUST12286";"2022-08-20";"The mobile app experience was intuitive.";3;"Yes";"No"
"FDB90292";"CUST11960";"2021-09-13";"I'm not happy with the premium charged.";3;"Yes";"Yes"
"FDB90293";"CUST10889";"2020-07-07";"The mobile app experience was intuitive.";5;"No";"No"
